person_id,title,firm,Calculated Duration
1065,DATABASE ANALYST/ PROGRAMMER,Neil O. Anderson and Assoc./Terracon Inc,20
1066,Database Administrator IT Security Officer Data Entry,US Navy US Navy US Navy,0
1067,Sr. Database Consultant Sr. Database Consultant (SQL & Oracle) DBA Sr. Database Consultant (SQL & Oracle) DBA SQL DBA/ Database Administrator,"USDA Advanced Threat Analysis, Inc Internal Revenue Service USAID",14
1068,Senior Database Administrator/Senior Developer Database Administrator (freelance) Senior Web Developer/ Database Administrator Senior Web Developer/ Database Administrator Contract Web Developer/Designer,"Markel Surety (formerly Suretec Financial Corporation) ACTWD.net Fifth Business Compass Technologies, LLC Walter P. Moore & Associates",25
1069,Sr. Database Administrator Sr. Oracle Database Administrator Sr. Oracle Database Administrator Oracle DBA IT Specialist (Oracle DBA) Oracle DBA / Security Specialist Oracle Database Administrator Intern,Defense Information System Agency (DISA) (Digital Management Integration LLC) Pioneering Evolution LLC Defense Information System Agency (DISA) (Ikun LLC) Highlight Technologies NAVSUP BSC Barton CHAVERAN,0
1070,SQL Architect/DBA DMS engineer Database administrator Sr. SQL Server DBA Database Administrator Database Administrator Consultant Database Administrator Web Developer Mainframe consultant,"Martin & Bell, LLP Grainger Seyfarth Shaw LLP CoAMS, Inc Beckett & Associates CCH Art.com Motorola",30
1071,Database Administrator Intern,VISHWAM MUSEUM VISHWAM MUSEUM,2
1072,DATABASE ADMINISTRATOR OFFICE SUPPORT CORDINATOR & TAX PREPARER,VALLEY NATIONAL GROUP H&R BLOCK,0
1073,"Software Developer Reporting Analyst & Program Manager Database Administrator Database Architect Database Programmer, Technical PM & Technical Writer",NBC UNIVERSAL MICROSOFT MICROSOFT APEX LEARNING CORBIS,23
1074,Sr. Database Administrator Sr. Database Administrator Sr. Database Administrator SQL Server Database Admin Advisor Database Administrator SQL Server DBA/Lead SQL Server DBA,"Health New England (HNE) Freddie Mac Capital One Financial Corporation WellPoint Inc Capital One Financial Corporation Micron Technology, Inc General Motors",18
1075,Manager - Marketing Analytics (Data / Analytics / Data Science Platforms) Senior SQL Server Database Administrator Database Architect Senior SQL Server Database Administrator Senior SQL Server Database Administrator (Contractor) Senior SQL Server Database Administrator /Developer (Contractor) Senior SQL Server Database Administrator (Contractor) Senior SQL Server Database Administrator (Contractor) Database Administrator SQL Database Administrator (Full Time),Autonation Assurant Inc PAR Technology Corporation Epic Loan Systems Liberty Power Corporation Momentum Consulting University of Miami Bayview Asset Management Arise Virtual Services Inc Global Resource Systems,0
1076,Certified Robotics Automation and Business Analyst Analyst RPA DB Performance Administrator Database Analyst Database Analyst/ Administrator DBA DBA,HPDA Enterprise LLC Analyst RPA Unisys DELL EarthLink AllScripts DELL,20
1077,DATA ANALYST DATABASE SPECIALIST DATABASE ADMINISTRATOR,Wells Fargo TeleworX LLC Partners In The Horn Of Africa,0
1078,Lead Oracle Applications Database Administrator Lead Oracle Applications Database Administrator Oracle Applications Database Administrator Oracle Applications Database Administrator Oracle Applications Database Administrator Oracle Applications Database Administrator Oracle Applications Database Administrator Oracle Applications Database Administrator Oracle Applications Database Administrator,Novelis Southern Company Fujitsu Consulting RadiSys CCBMRDD Per-Se Technologies GE HealthCare GE HealthCare GE Medical Systems,24
1079,"Database Support Service Lead Senior Database Consultant Lead DBA, Database Managed Services Database Administrator, Global Services Team Oracle DBA Lead Database Administrator DBA Lead Senior Database Administrator Deployment Manager Database Team Lead Consultant Database Administrator",Campbell's Soup Company Harvard Medical School Johnson and Johnson Johnson and Johnson Loblaw Companies Ltd Kaiser Permanente Tavant Technologies Hewlett-Packard General Motors Europe Citicorp Overseas Software Ltd HCL Info Systems Ltd,26
1080,IT and Database Administrator,Silicon Valley University,11
1081,PRICING ANALYST DATABASE ADMINISTRATOR CUSTOMER SERVICE-GLOBAL,HONEYWELL SAFETY PRODUCTS HONEYWELL SAFETY PRODUCTS HONEYWELL SAFETY PRODUCTS,35
1082,Oracle DBA Database Administrator,IMIMobile - IN Serco Group - IN,0
1083,AWS Architect / Senior Database Administrator Senior Database Administrator/AWS Architect Senior Oracle DBA Consultant Senior Oracle Database Administrator Senior Oracle Database Administrator Senior Oracle Database Administrator Senior Oracle Database Administrator Senior Oracle DBA Consultant/ Database Management Specialist,Verizon Wireless TIAA Financial Services Equifax CISCO ADP Verizon Wireless Boeing MDoT/MdTA/MPA/ Computer Sciences Corporation,22
1084,Sr. Database Engineer/Jr Architect Sr. Database Engineer Database Administrator Database Administrator / Developer Data Warehouse Engineer Architect Software Engineer Database Analyst Software Engineer/Advance Billing Support,American Century Investment USDA-RMA Dickinson Financial / Armed Forces Bank EPIQ SYSTEMS Quest Diagnostics Sprint-Nextel Sprint-Nextel Sogeti/DST Systems Sprint PCS,25
1085,Technical Consultant Senior Web Application Developer/ Database Administrator Web Developer/ Database Administrator,Radian Media MetLife Social Psychology Network (SPN),27
1086,State Representative Manager/Owner Database Administrator,State of Connecticut Bethel Mail Service Computer Task Group (Consultant at IBM),0
1087,IT Performance Engineer z/OS DB2 Database Administrator z/OS DB2 Database Administrator z/OS DB2 Database Administrator z/OS DB2 Database Administrator,Nationwide Insurance JPMorgan Chase Ohio Bureau of Workers Compensation Huntington National Bank Franklin County Data Center,21
1088,Cost Engineer Technician Database Administrator Interpreter/ Translator,Bilfinger Industrial Services UPS Global Village Langue Center,26
1089,Database Configuration Administrator Implementation Specialist,"DRB Systems, LLC DRB Systems, Inc",25
